reaction_id,gene_id
r_0211,YGR124W
r_0212,YHR019C
r_0213,YCR024C
r_0214,YJL130C
r_0215,YER052C
r_0216,YLR027C
r_0217,YKL106W
r_0218,YLR027C
r_0219,YDR158W
r_0220,YLL018C
r_0221,YPL104W
r_0222,YDR530C
r_0223,YCL050C
r_0224,YCL050C
r_0225,YER055C
r_0226,YPL078C
r_0226,YKL016C
r_0226,Q0130
r_0226,YOL077W-A
r_0226,YLR295C
r_0226,Q0080
r_0226,YPR020W
r_0226,YBR039W
r_0226,Q0085
r_0226,YDR298C
r_0226,YML081C-A
r_0226,YPL271W
r_0226,YDL004W
r_0226,YDR322C-A
r_0226,YJR121W
r_0226,YDR377W
r_0226,YBL099W
r_0227,YER005W
r_0227,YPL036W
r_0227,YEL017C-A
r_0227,YCR024C-A
r_0227,YGL008C
r_0228,YBR110W
r_0229,YGR286C
r_0230,YDL141W
r_0231,YNL280C
r_0233,YMR015C
r_0234,YGL001C
r_0235,YGL001C
r_0236,YLR100W
r_0237,YLR100W
r_0238,YGR060W
r_0239,YGR060W
r_0240,YGR060W
r_0241,YGR060W
r_0242,YLR056W
r_0243,YMR202W
r_0244,YGL012W
r_0249,YKL019W
r_0249,YDL090C
r_0250,YJL130C
r_0250,YJR109C
r_0250,YOR303W
r_0252,YER024W
r_0252,YAR035W
r_0253,YML042W
r_0254,YML042W
r_0255,YGR088W
r_0256,YDR256C
r_0259,YDR297W
r_0260,YMR272C
r_0261,YDR297W
r_0262,YMR272C
r_0263,YHL003C
r_0263,YKL008C
r_0263,YMR298W
r_0264,YHL003C
r_0264,YKL008C
r_0264,YMR298W
r_0265,YHL003C
r_0265,YKL008C
r_0265,YMR298W
r_0266,YHL003C
r_0266,YKL008C
r_0266,YMR298W
r_0267,YMR272C
r_0268,YMR272C
r_0269,YMR272C
r_0270,YMR272C
r_0271,YLR307W
r_0271,YLR308W
r_0272,YBR023C
r_0272,YBR038W
r_0272,YNL192W
r_0273,YLR133W
r_0274,YGR202C
r_0278,YPR060C
r_0279,YGL148W
r_0280,YLR304C
r_0281,YMR101C
r_0281,YBR002C
r_0282,YMR101C
r_0282,YBR002C
r_0283,YMR101C
r_0283,YBR002C
r_0284,YMR101C
r_0284,YBR002C
r_0285,YMR101C
r_0285,YBR002C
r_0286,YMR101C
r_0286,YBR002C
r_0287,YMR101C
r_0287,YBR002C
r_0288,YMR101C
r_0288,YBR002C
r_0289,YMR101C
r_0289,YBR002C
r_0290,YMR101C
r_0290,YBR002C
r_0291,YMR101C
r_0291,YBR002C
r_0292,YMR101C
r_0292,YBR002C
r_0293,YMR101C
r_0293,YBR002C
r_0294,YMR101C
r_0294,YBR002C
r_0295,YMR101C
r_0295,YBR002C
r_0296,YMR101C
r_0296,YBR002C
r_0297,YMR101C
r_0297,YBR002C
r_0298,YMR101C
r_0298,YBR002C
r_0299,YMR101C
r_0299,YBR002C
r_0300,YPR001W
r_0300,YNR001C
r_0301,YCR005C
r_0302,YLR304C
r_0303,YLR304C
r_0304,YDR044W
r_0306,YJR103W
r_0306,YBL039C
r_0307,YJR103W
r_0307,YBL039C
r_0308,YGL184C
r_0308,YFR055W
r_0309,YGR155W
r_0310,YAL012W
r_0311,YJR130C
r_0312,YLR303W
r_0313,YNL247W
r_0314,YLR245C
r_0315,YNR012W
r_0317,YHR042W
r_0317,YHR007C
r_0318,YPR062W
r_0319,YML086C
r_0320,YMR041C
r_0321,YBR149W
r_0322,YKL060C
r_0323,YDL246C
r_0323,YJR159W
r_0326,YHR144C
r_0327,YHR144C
r_0328,YNL141W
r_0329,YLR245C
r_0330,YDR454C
r_0331,YHR068W
r_0332,YCR036W
r_0334,YDR196C
r_0335,YNR057C
r_0340,YPL087W
r_0341,YPL087W
r_0342,YPL087W
r_0343,YPL087W
r_0344,YOR236W
r_0345,YOR236W
r_0346,YMR113W
r_0347,YNL256W
r_0348,YDL100C
r_0349,YLR420W
r_0350,YNL256W
r_0351,YNL256W
r_0352,YJR016C
r_0353,YJR016C
r_0354,YML070W
r_0354,YFL053W
r_0355,YJL167W
r_0356,YKL152C
r_0357,YOR163W
r_0358,YDR017C
r_0359,YLR172C
r_0360,YMR013C
r_0361,YPR183W
r_0362,YJR143C
r_0362,YDL095W
r_0362,YDL093W
r_0362,YAL023C
r_0362,YOR321W
r_0363,YJR057W
r_0364,YBR252W
r_0364,YJR069C
r_0365,YJR153W
r_0366,YOR393W
r_0366,YHR174W
r_0366,YGR254W
r_0366,YMR323W
r_0366,YPL281C
r_0368,YDR147W
r_0368,YLR133W
r_0369,YOR126C
r_0370,YGR282C
r_0370,YDR261C
r_0370,YLR300W
r_0370,YNR067C
r_0370,YOR190W
r_0373,YPL069C
r_0399,YER015W
r_0400,YER015W
r_0402,YER015W
r_0410,YER015W
r_0412,YER015W
r_0436,YOR176W
r_0437,YJR048W
r_0437,YEL039C
r_0437,YKR066C
r_0438,YGL191W
r_0438,YLR038C
r_0438,YDL067C
r_0438,YNL052W
r_0438,Q0275
r_0438,YJR048W
r_0438,YIL111W
r_0438,Q0045
r_0438,YHR116W
r_0438,YJL003W
r_0438,YPL132W
r_0438,YGL187C
r_0438,YMR256C
r_0438,YDR231C
r_0438,YLL018C-A
r_0438,YLR395C
r_0438,YGR062C
r_0438,Q0250
r_0438,YHR051W
r_0438,YEL039C
r_0439,YBL045C
r_0439,YEL024W
r_0439,YGR183C
r_0439,YJL166W
r_0439,YJR048W
r_0439,Q0105
r_0439,YPR191W
r_0439,YFR033C
r_0439,YOR065W
r_0439,YEL039C
r_0439,YHR001W-A
r_0439,YDR529C
r_0440,YDL045C
r_0441,YLR011W
r_0442,YLR011W
r_0443,YDL168W
r_0445,YOR388C
r_0446,YGR204W
r_0447,YBR084W
r_0448,YJL155C
r_0448,YLR345W
r_0449,YLR377C
r_0450,YKL060C
r_0451,YPL262W
r_0452,YPL262W
r_0453,YKL216W
r_0454,YEL047C
r_0455,YEL047C
r_0457,YLR299W
r_0458,YBR020W
r_0459,YBR018C
r_0460,YJL101C
r_0462,YJL167W
r_0463,YPR184W
r_0464,YIL099W
r_0466,YNL241C
r_0467,YBR196C
r_0468,YDR300C
r_0469,YMR250W
r_0470,YDL215C
r_0471,YAL062W
r_0471,YOR375C
r_0472,YDL171C
r_0473,YOR323C
r_0475,YFL060C
r_0475,YNL334C
r_0476,YPR035W
r_0477,YKL104C
r_0477,YMR084W
r_0478,YOR168W
r_0479,YGL245W
r_0480,YOL033W
r_0481,YCL035C
r_0481,YPL091W
r_0481,YER174C
r_0481,YDR513W
r_0481,YDR098C
r_0482,YPL091W
r_0482,YPL059W
r_0483,YCL035C
r_0483,YNL229C
r_0483,YBR244W
r_0483,YIR037W
r_0483,YDR513W
r_0483,YKL026C
r_0484,YPL059W
r_0485,YOL049W
r_0486,YJL052W
r_0486,YGR192C
r_0486,YJR009C
r_0487,YOR120W
r_0488,YHL032C
r_0489,YER062C
r_0489,YIL053W
r_0490,YIL155C
r_0491,YOL059W
r_0491,YDL022W
r_0492,YOL059W
r_0497,YPL110C
r_0499,YDR408C
r_0501,YDR019C
r_0501,YAL044C
r_0501,YMR189W
r_0501,YFL018C
r_0502,YLR058C
r_0503,YBR263W
r_0504,YDR019C
r_0504,YAL044C
r_0504,YMR189W
r_0504,YFL018C
r_0505,YDR148C
r_0505,YDR019C
r_0505,YMR189W
r_0505,YAL044C
r_0505,YIL125W
r_0505,YFL018C
r_0506,YDR019C
r_0506,YAL044C
r_0506,YMR189W
r_0506,YFL018C
r_0507,YDR019C
r_0507,YAL044C
r_0507,YMR189W
r_0507,YFL018C
r_0508,YDR019C
r_0508,YAL044C
r_0508,YMR189W
r_0508,YFL018C
r_0509,YDR019C
r_0509,YAL044C
r_0509,YMR189W
r_0509,YFL018C
r_0510,YJL137C
r_0510,YLR258W
r_0510,YKR058W
r_0510,YFR015C
r_0511,YPR160W
r_0512,YBR121C
r_0512,YPR081C
r_0514,YMR217W
r_0518,YMR281W
r_0519,YCL052C
r_0519,YJR013W
r_0520,YKL165C
r_0521,YBR004C
r_0522,YGL142C
r_0523,YLL031C
r_0523,YDR302W
r_0524,YGR267C
r_0525,YBL033C
r_0526,YDL238C
r_0527,YDR399W
r_0528,YDR454C
r_0529,YDR454C
r_0530,YPL252C
r_0530,YER141W
r_0530,YDR376W
r_0531,YPL172C
r_0532,YDR204W
r_0532,YLR201C
r_0532,YOR125C
r_0532,YML110C
r_0532,YOL096C
r_0532,YGR255C
r_0533,YGL253W
r_0533,YLR446W
r_0533,YFR053C
r_0534,YCL040W
r_0534,YGL253W
r_0534,YLR446W
r_0534,YDR516C
r_0534,YFR053C
r_0535,YGL253W
r_0535,YLR446W
r_0535,YFR053C
r_0536,YCL030C
r_0537,YFR025C
r_0538,YIL116W
r_0539,YPR033C
r_0540,YPR033C
r_0541,YBR034C
r_0542,YJL200C
r_0542,YDR234W
r_0543,YDL182W
r_0543,YDL131W
r_0544,YLL062C
r_0544,YPL273W
r_0545,YIL094C
r_0546,YJR139C
r_0547,YJR139C
r_0548,YHR025W
r_0549,YNL277W
r_0550,YGR209C
r_0550,YLR043C
r_0550,YDR453C
r_0551,YCR083W
r_0551,YBL064C
r_0552,YGR209C
r_0552,YLR043C
r_0552,YLR109W
r_0553,YDR272W
r_0554,YOR040W
r_0555,YNR041C
r_0556,YPL214C
r_0557,YDL205C
r_0558,YLR450W
r_0558,YML075C
r_0559,YML126C
r_0560,YML126C
r_0561,YPL258C
r_0561,YPR121W
r_0561,YOL055C
r_0562,YDR399W
r_0563,YBR248C
r_0564,YOR202W
r_0565,YLR432W
r_0565,YML056C
r_0565,YHR216W
r_0566,YKL211C
r_0567,YGR087C
r_0567,YLR044C
r_0567,YLR134W
r_0568,YBR011C
r_0569,YMR267W
r_0570,YMR120C
r_0570,YLR028C
r_0571,YDR315C
r_0572,YDR173C
r_0573,YDR173C
r_0574,YDR173C
r_0575,YDR173C
r_0596,YER019W
r_0597,YER019W
r_0598,YER019W
r_0599,YER019W
r_0600,YER019W
r_0601,YER019W
r_0602,YER019W
r_0603,YER019W
r_0604,YER019W
r_0605,YER019W
r_0606,YER019W
r_0607,YER019W
r_0608,YER019W
r_0609,YER019W
r_0610,YER019W
r_0611,YER019W
r_0612,YER019W
r_0613,YER019W
r_0614,YER019W
r_0615,YER019W
r_0616,YER019W
r_0617,YER019W
r_0618,YER019W
r_0619,YER019W
r_0620,YER019W
r_0621,YER019W
r_0622,YER019W
r_0623,YER019W
r_0624,YER019W
