metabolite_name,metabolite_id,DMEM,FBS,references
Serine,MAM02896e,yes,yes,"doi.org/10.1016/S0093-691X(01)00532-5, doi.org/10.7554/eLife.27713, doi.org/10.1007/BF00917009, https://www.atcc.org/~/media/D7399222FD8B4EF68FD56DD8058804BA.ashx"
Sodium,MAM02519e,yes,yes,"doi.org/10.3181/00379727-149-38804, doi.org/10.1007/BF00917009, https://www.atcc.org/~/media/D7399222FD8B4EF68FD56DD8058804BA.ashx"
Stearate,MAM02938e,no,yes,doi.org/10.1007/BF00917009
Succinate,MAM02943e,no,yes,doi.org/10.1016/j.cell.2017.03.023
Sulfate,MAM02946e,yes,no,https://www.atcc.org/~/media/D7399222FD8B4EF68FD56DD8058804BA.ashx
Taurine,MAM02961e,no,yes,doi.org/10.1016/j.cell.2017.03.023
Thiamine,MAM02982e,yes,no,https://www.atcc.org/~/media/D7399222FD8B4EF68FD56DD8058804BA.ashx
Threonine,MAM02993e,yes,yes,"doi.org/10.1016/S0093-691X(01)00532-5, doi.org/10.7554/eLife.27713, doi.org/10.1007/BF00917009, doi.org/10.1016/j.cell.2017.03.023, https://www.atcc.org/~/media/D7399222FD8B4EF68FD56DD8058804BA.ashx"
Thymidine,MAM02996e,no,yes,doi.org/10.1016/j.cell.2017.03.023
Tryptophan,MAM03089e,yes,yes,"doi.org/10.1016/S0093-691X(01)00532-5, doi.org/10.7554/eLife.27713, doi.org/10.1016/j.cell.2017.03.023, https://www.atcc.org/~/media/D7399222FD8B4EF68FD56DD8058804BA.ashx"
Tyrosine,MAM03101e,yes,yes,"doi.org/10.1016/S0093-691X(01)00532-5, doi.org/10.7554/eLife.27713, doi.org/10.1007/BF00917009, doi.org/10.1016/j.cell.2017.03.023, https://www.atcc.org/~/media/D7399222FD8B4EF68FD56DD8058804BA.ashx"
Uracil,MAM03118e,no,yes,doi.org/10.1016/j.cell.2017.03.023
Uridine,MAM03123e,no,yes,doi.org/10.1016/j.cell.2017.03.023
Vaccenic acid,MAM01585e,no,yes,doi.org/10.1007/BF00917009
Valine,MAM03135e,yes,yes,"doi.org/10.1016/S0093-691X(01)00532-5, doi.org/10.7554/eLife.27713, doi.org/10.1007/BF00917009, doi.org/10.1016/j.cell.2017.03.023, https://www.atcc.org/~/media/D7399222FD8B4EF68FD56DD8058804BA.ashx"
Xanthine,MAM03148e,no,yes,doi.org/10.1016/j.cell.2017.03.023
Water,MAM02040e,yes,yes,
