reaction ID,flagged by,problems found,changes made,Human-GEM GitHub pull request number
MAR02972,none,wrong reversibility,made irreversible,527
MAR02973,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR02974,none,wrong reversibility,made irreversible,527
MAR02975,none,wrong reversibility,made irreversible,527
MAR02976,none,wrong reversibility,made irreversible,527
MAR02977,none,wrong reversibility,made irreversible,527
MAR02978,none,wrong reversibility,made irreversible,527
MAR02979,none,wrong reversibility,made irreversible,527
MAR02980,none,wrong reversibility,made irreversible,527
MAR02981,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR02982,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR02983,none,wrong reversibility,made irreversible,527
MAR02984,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR02985,none,wrong reversibility,made irreversible,527
MAR02986,none,wrong reversibility,made irreversible,527
MAR02987,none,wrong reversibility,made irreversible,527
MAR02988,none,wrong reversibility,made irreversible,527
MAR02989,none,wrong reversibility,made irreversible,527
MAR02990,none,wrong reversibility,made irreversible,527
MAR02991,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR02992,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR02994,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR02996,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR02998,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR02999,none,wrong reversibility,made irreversible,527
MAR03000,none,wrong reversibility,made irreversible,527
MAR03001,none,wrong reversibility,made irreversible,527
MAR03002,none,wrong reversibility,made irreversible,527
MAR03003,none,wrong reversibility,made irreversible,527
MAR03387,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR03480,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR03482,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR03797,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR03801,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR03803,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR03805,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR03846,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR03872,none,wrong reversibility,made irreversible,527
MAR03874,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR04085,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR04086,none,wrong reversibility,made irreversible,527
MAR04254,none,wrong reversibility,made irreversible,527
MAR04257,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR04262,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR04276,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR04401,none,wrong reversibility,made irreversible,527
MAR04418,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR04452,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR04460,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR04532,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR04536,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR04577,none,wrong reversibility,made irreversible,527
MAR04727,none,wrong reversibility,made irreversible,527
MAR03493,loop,"wrong metabolites, wrong reversibility","metabolites edited, made irreversible","527, 805"
MAR03389,none,"wrong metabolites, wrong reversibility","metabolites edited, made irreversible","527, 808"
MAR00108,"duplicate, loop",duplicate,duplicate removed,561
MAR00464,"duplicate, loop",duplicate,removed,561
MAR02404,"duplicate, loop",duplicate,duplicate removed,561
MAR02490,"duplicate, loop",duplicate,removed,561
MAR02608,"duplicate, loop",duplicate,duplicate removed,561
