model,all_rxns,flagged,dead-ends,dilution-blocked,duplicates,loops,redoxes
BPE_RA5.mat,1319,1181,756,425,102,425,7
LPL_MD1.xml,424,395,371,18,10,18,6
BPE_PT1.xml,1706,1417,1249,158,180,158,8
PPU_MS1.sbml,1753,1349,763,286,80,352,9
LPL_RA5.mat,992,888,527,361,92,361,6
PPU_RA11.xml,1491,1416,1091,316,208,316,7
PPU_CA2.xml,2108,786,28,486,167,224,9
BPE_AU1.sbml,989,829,788,18,67,18,8
PPU_PT3.xml,2495,1916,1629,244,304,244,9
LPL_MD2.xml,785,697,570,115,83,117,7
LPL_AU3.sbml,2059,1847,1194,599,219,578,9
LPL_RA8.mat,831,795,638,153,133,153,5
LPL_RA3.mat,859,771,487,284,60,284,5
BPE_PT4.xml,1468,1272,1157,111,145,111,7
PPU_PT4.xml,2410,1909,1644,223,281,223,9
PPU_RA5.xml,1559,1445,829,616,129,616,7
BPE_ME2.xml,1292,1250,1045,205,2,205,0
LPL_RA7.mat,798,762,607,151,131,151,5
BPE_RA2.mat,1222,1111,714,397,102,397,7
BPE_MD1.xml,1083,926,884,10,72,10,8
BPE_PT5.xml,1706,1417,1249,158,180,158,8
LPL_RA2.mat,909,821,498,323,80,323,6
PPU_RA8.xml,1513,1443,1116,318,212,318,6
PPU_MD3.xml,1865,1647,1223,408,118,417,8
LPL_PT4.xml,794,721,615,104,25,104,7
BPE_MS2.sbml,1296,1258,937,304,106,226,7
BPE_MS1.sbml,1296,1258,937,304,106,226,7
PPU_RA10.xml,1258,1186,926,250,189,250,6
PPU_RA2.xml,1447,1333,763,570,119,570,7
LPL_MD3.xml,1140,1051,812,203,185,205,7
BPE_PT3.xml,1535,1317,1180,131,164,131,7
LPL_PT2.xml,1229,1006,906,89,55,89,7
PPU_ME2.xml,1014,965,712,253,6,253,0
BPE_RA1.mat,1216,1111,711,400,102,400,7
LPL_RA1.mat,899,815,500,315,78,315,6
BPE_MD3.xml,1606,1411,1284,71,120,117,7
PPU_PT1.xml,2638,1975,1685,249,296,249,9
LPL_MS2.sbml,1273,1078,717,265,45,252,7
