model,all_rxns,flagged,dead-ends,dilution-blocked,duplicates,loops,redoxes
Carnobacterium_maltaromaticum_ATCC_35586.mat,1165,642,392,207,35,32,7
Staphylococcus_intermedius_NCTC_11048.mat,1324,726,395,244,53,68,6
Enterococcus_faecium_E0120.mat,1078,594,315,216,23,56,6
Clostridioides_difficile_QCD_97b34.mat,1673,1048,631,289,59,125,8
Enterococcus_faecium_S658_3.mat,1064,570,299,215,23,47,6
Staphylococcus_aureus_M1007.mat,1411,734,348,282,51,84,6
Halomonas_campaniensis_LS21.mat,1495,900,481,338,56,60,6
Campylobacter_coli_RM2228.mat,1394,908,475,340,57,88,7
Bacillus_cereus_BAG2X1_3.mat,1986,1161,680,297,85,172,7
Enterococcus_faecalis_TUSoD_Ef11.mat,1584,967,571,294,43,109,8
Enterococcus_faecalis_B4008.mat,1233,661,328,276,23,49,6
Streptococcus_pneumoniae_SP14_BS292.mat,1086,595,259,281,17,53,5
Helicobacter_pylori_Hp_P_11.mat,1282,825,452,316,33,75,7
Streptococcus_pneumoniae_GA07228.mat,1101,579,248,273,17,56,5
Aeromonas_media_WS.mat,1761,913,480,296,62,112,7
Ruminococcaceae_nov_ERR1022443.mat,924,605,361,218,17,24,6
Lachnospiraceae_nov_ERR1022402.mat,980,614,350,225,29,40,5
Campylobacter_jejuni_subsp_jejuni_414.mat,980,630,233,355,31,34,5
Streptococcus_pyogenes_A20.mat,939,488,262,207,15,15,5
Clostridium_boliviensis_ERR171272.mat,1175,697,405,253,37,40,5
Enterococcus_faecalis_TX0645.mat,1577,969,582,287,39,111,8
Clostridium_beijerinckii_NCIMB_8052.mat,1511,877,507,267,53,104,8
Treponema_succinifaciens_DSM_2489.mat,1316,850,525,283,29,42,7
Escherichia_coli_KTE168.mat,3581,1221,726,290,99,188,8
Streptococcus_pneumoniae_2070425.mat,1116,600,277,265,17,56,5
Enterococcus_faecalis_B5076.mat,1227,655,325,276,23,46,6
Bacillus_megaterium_SF185.mat,1546,859,498,246,119,88,6
Enterococcus_faecalis_RMC5.mat,1242,675,331,282,25,54,6
Enorma_massiliensis_phI.mat,856,502,334,138,20,29,3
Bacillus_toyonensis_BAG1O_2.mat,1553,886,496,263,62,107,6
Escherichia_coli_B185.mat,3589,1229,722,307,96,190,8
Cutibacterium_acnes_PRP_38.mat,2330,952,545,270,58,144,7
