reaction_id,gene_id
MAR08503,223
MAR08503,220
MAR08503,222
MAR08503,218
MAR08504,217
MAR08504,501
MAR08504,224
MAR08504,223
MAR08504,219
MAR08506,217
MAR08506,501
MAR08506,224
MAR08506,223
MAR08506,219
MAR08507,124
MAR08507,128
MAR08507,127
MAR08507,125
MAR08507,284273
MAR08507,137872
MAR08507,130
MAR08507,131
MAR08507,126
MAR08508,124
MAR08508,128
MAR08508,127
MAR08508,125
MAR08508,284273
MAR08508,137872
MAR08508,130
MAR08508,131
MAR08508,126
MAR08509,231
MAR08509,8574
MAR08509,10327
MAR08511,3029
MAR08511,84264
MAR08512,197257
MAR08514,124637
MAR08514,197257
MAR08516,549
MAR04280,92483
MAR04280,3945
MAR00153,79611
MAR00153,84532
MAR00153,55902
MAR03212,28976
MAR03212,34
MAR03212,84129
MAR03212,35
MAR03212,36
MAR03212,27034
MAR03212,80724
MAR03797,79611
MAR03797,84532
MAR03797,55902
MAR03800,594
MAR03800,593
MAR03800,1738
MAR03800,1629
MAR04105,23417
MAR04106,23417
MAR04107,23417
MAR04282,4329
MAR04331,79611
MAR04331,84532
MAR04331,55902
MAR04459,79611
MAR04459,84532
MAR04459,55902
MAR04460,79611
MAR04460,84532
MAR04460,55902
MAR04497,1718
MAR04741,26275
MAR09804,1645
MAR09804,3291
MAR09804,10553
MAR09804,145226
MAR09804,121214
MAR09804,51170
MAR09804,1487
MAR09804,112724
MAR09804,80270
MAR09804,51741
MAR09804,10202
MAR09804,441282
MAR09804,130752
MAR09804,128
MAR09804,157506
MAR09804,374875
MAR09804,84869
MAR09804,7923
MAR09804,93517
MAR09804,100288072
MAR09804,57665
MAR09804,57016
MAR09804,195814
MAR09804,51171
MAR09804,1109
MAR09804,56898
MAR00718,79944
MAR00719,26227
MAR01434,39
MAR01436,65985
MAR03163,28976
MAR03163,34
MAR03163,84129
MAR03163,35
MAR03163,36
MAR03163,27034
MAR03163,80724
MAR04461,622
MAR04461,56898
MAR04604,3157
MAR05351,160287
MAR05351,3948
MAR05351,92483
MAR05351,3945
MAR07709,55268
MAR04052,5634
MAR04052,5631
MAR04052,221823
MAR04304,2539
MAR04350,64080
MAR04351,22934
MAR04352,22934
MAR04354,55276
MAR04398,51071
MAR04404,8277
MAR04404,7086
MAR04404,84076
MAR04473,5226
MAR04474,5226
MAR04476,414328
MAR04477,729020
MAR04477,6120
MAR04501,8277
MAR04501,7086
MAR04501,84076
MAR04565,6888
MAR04567,5214
MAR04567,5213
MAR04567,5211
MAR09799,23729
MAR09800,3795
MAR04623,9563
MAR04625,25796
MAR04710,55276
MAR04841,221
MAR04841,220
MAR04841,222
MAR04841,218
MAR08074,64080
MAR08653,25796
MAR08653,9563
MAR03998,954
MAR03998,377841
MAR03998,124583
MAR03998,956
MAR03998,953
MAR03998,955
MAR03998,9583
MAR03998,957
MAR04000,2977
MAR04000,2982
MAR04000,4881
MAR04000,196883
MAR04000,2986
MAR04000,112
MAR04000,2984
MAR04000,55811
MAR04000,4882
MAR04000,114
MAR04000,3000
MAR04000,111
MAR04000,115
MAR04000,107
MAR04000,113
MAR04000,109
MAR04000,108
MAR04000,2983
MAR04002,26289
MAR04002,203
MAR04002,102157402
MAR04002,204
MAR04002,158067
MAR04002,221264
MAR04002,6880
MAR04002,50808
MAR04002,205
MAR04002,122481
MAR04004,26289
MAR04004,203
MAR04004,102157402
MAR04004,204
MAR04004,158067
MAR04004,221264
MAR04004,6880
MAR04004,50808
MAR04004,205
MAR04004,122481
MAR04010,30833
MAR04010,93034
MAR04010,55
MAR04010,57786
MAR04010,22978
MAR04010,115024
MAR04010,56953
MAR04010,51251
MAR04010,4907
MAR04010,84618
MAR04081,30833
MAR04081,93034
MAR04081,55
MAR04081,57786
MAR04081,22978
MAR04081,115024
MAR04081,56953
MAR04081,51251
MAR04081,4907
MAR04081,84618
MAR04082,30833
