source,target
rxn00770_c0,rxn00351_c0
rxn00770_c0,rxn00772_c0
rxn00770_c0,rxn01123_c0
rxn00770_c0,rxn03164_c0
rxn00770_c0,rxn00690_c0
rxn00770_c0,rxn01100_c0
rxn00770_c0,rxn00392_c0
rxn00770_c0,rxn01513_c0
rxn00770_c0,rxn00097_c0
rxn00770_c0,rxn00247_c0
rxn02213_c0,rxn01740_c0
rxn02213_c0,rxn01188_c0
rxn02213_c0,rxn02212_c0
rxn01128_c0,rxn10262_c0
rxn01128_c0,rxn10263_c0
rxn01128_c0,rxn01706_c0
rxn01128_c0,rxn10228_c0
rxn01128_c0,rxn03910_c0
rxn01128_c0,rxn00368_c0
rxn01128_c0,rxn10261_c0
rxn01128_c0,rxn10231_c0
rxn01128_c0,rxn00840_c0
rxn01128_c0,rxn09112_c0
rxn01128_c0,rxn01129_c0
rxn01128_c0,rxn01515_c0
rxn01128_c0,rxn03439_c0
rxn01128_c0,rxn09111_c0
rxn01128_c0,rxn09211_c0
rxn01128_c0,rxn09206_c0
rxn01128_c0,rxn09205_c0
rxn01128_c0,rxn09109_c0
rxn01128_c0,rxn10230_c0
rxn01128_c0,rxn09208_c0
rxn01128_c0,rxn01705_c0
rxn01128_c0,rxn09110_c0
rxn01128_c0,rxn00369_c0
rxn01128_c0,rxn03182_c0
rxn01128_c0,rxn09114_c0
rxn01128_c0,rxn09562_c0
rxn01128_c0,rxn09108_c0
rxn01128_c0,rxn10227_c0
rxn01128_c0,rxn09113_c0
rxn01128_c0,rxn01127_c0
rxn01128_c0,rxn09207_c0
rxn01128_c0,rxn01510_c0
rxn01128_c0,rxn08954_c0
rxn01128_c0,rxn10260_c0
rxn01128_c0,rxn10264_c0
rxn01128_c0,rxn09210_c0
rxn01128_c0,bio1_biomass
rxn01128_c0,rxn00707_c0
rxn01128_c0,rxn00839_c0
rxn01128_c0,rxn10226_c0
rxn01128_c0,rxn10259_c0
rxn01128_c0,rxn10229_c0
rxn01128_c0,rxn09209_c0
rxn01128_c0,rxn00365_c0
rxn03422_c0,rxn11663_c0
rxn03422_c0,rxn01361_c0
rxn03422_c0,rxn00500_c0
rxn03422_c0,rxn01331_c0
rxn03422_c0,rxn01124_c0
rxn03422_c0,rxn10770_c0
rxn03422_c0,rxn00291_c0
rxn03422_c0,rxn01241_c0
rxn03422_c0,rxn06493_c0
rxn03422_c0,rxn01268_c0
rxn03422_c0,rxn00929_c0
rxn03422_c0,rxn00068_c0
rxn03422_c0,rxn03249_c0
rxn03422_c0,rxn10124_c0
rxn03422_c0,rxn04750_c0
rxn03422_c0,rxn03617_c0
rxn03422_c0,rxn00804_c0
rxn03422_c0,rxn00863_c0
rxn03422_c0,rxn01867_c0
rxn03422_c0,rxn00105_c0
rxn03422_c0,rxn03062_c0
rxn03422_c0,rxn00278_c0
rxn03422_c0,rxn01451_c0
rxn03422_c0,rxn02933_c0
rxn03422_c0,rxn01480_c0
rxn03422_c0,rxn12868_c0
rxn03422_c0,rxn13838_c0
rxn03422_c0,rxn02939_c0
rxn03422_c0,rxn00510_c0
rxn03422_c0,rxn02774_c0
rxn03422_c0,rxn01419_c0
rxn03422_c0,rxn08131_c0
rxn03422_c0,bio1_biomass
rxn03422_c0,rxn12239_c0
rxn03422_c0,rxn00211_c0
rxn03422_c0,rxn02159_c0
rxn03422_c0,rxn01101_c0
rxn03422_c0,rxn03622_c0
rxn03422_c0,rxn03990_c0
rxn03422_c0,rxn01011_c0
