source,target
MAR06131,MAR06069
MAR06131,MAR06170
MAR06131,MAR01899
MAR06131,MAR06164
MAR06131,MAR06118
MAR06131,MAR04434
MAR06131,MAR06127
MAR06131,MAR06146
MAR06131,MAR02398
MAR06131,MAR06194
MAR06131,MAR06081
MAR06131,MAR06112
MAR06131,MAR06209
MAR06131,MAR01905
MAR06131,MAR01881
MAR06131,MAR06109
MAR06131,MAR06075
MAR06131,MAR06203
MAR06131,MAR06121
MAR06131,MAR06173
MAR06131,MAR01893
MAR06131,MAR06212
MAR06131,MAR06084
MAR06131,MAR06090
MAR06131,MAR06197
MAR06131,MAR06176
MAR06131,MAR06185
MAR06131,MAR06140
MAR06131,MAR06152
MAR06131,MAR06182
MAR06131,MAR06179
MAR06131,MAR06161
MAR06131,MAR01902
MAR06131,MAR05444
MAR06131,MAR06087
MAR06131,MAR01884
MAR06131,MAR01890
MAR06131,MAR06167
MAR06131,MAR06200
MAR06131,MAR06093
MAR06131,MAR06188
MAR06131,MAR01908
MAR06131,MAR06072
MAR06131,MAR06149
MAR06131,MAR01887
MAR06131,MAR06137
MAR06131,MAR06155
MAR06131,MAR06191
MAR06131,MAR06115
MAR06131,MAR06078
MAR06131,MAR06206
MAR06131,MAR06124
MAR06131,MAR06158
MAR06131,MAR06134
MAR06172,MAR06175
MAR06172,MAR06077
MAR06172,MAR05443
MAR06172,MAR06120
MAR06172,MAR06166
MAR06172,MAR06133
MAR06172,MAR06068
MAR06172,MAR06136
MAR06172,MAR06086
MAR06172,MAR01889
MAR06172,MAR06169
MAR06172,MAR06148
MAR06172,MAR06114
MAR06172,MAR01901
MAR06172,MAR06080
MAR06172,MAR06205
MAR06172,MAR06160
MAR06172,MAR06184
MAR06172,MAR02396
MAR06172,MAR01892
MAR06172,MAR01898
MAR06172,MAR06145
MAR06172,MAR06108
MAR06172,MAR04433
MAR06172,MAR06126
MAR06172,MAR06154
MAR06172,MAR06208
MAR06172,MAR06089
MAR06172,MAR06157
MAR06172,MAR06187
MAR06172,MAR06202
MAR06172,MAR01904
MAR06172,MAR06071
MAR06172,MAR06196
MAR06172,MAR01886
MAR06172,MAR06130
MAR06172,MAR06178
MAR06172,MAR06092
MAR06172,MAR06211
MAR06172,MAR06123
MAR06172,MAR06151
MAR06172,MAR06117
MAR06172,MAR06111
MAR06172,MAR01907
MAR06172,MAR06139
MAR06172,MAR06181
MAR06172,MAR06199
MAR06172,MAR06190
MAR06172,MAR01880
MAR06172,MAR06193
MAR06172,MAR06083
MAR06172,MAR01883
MAR06172,MAR06163
MAR06172,MAR06074
MAR08495,MAR08492
MAR12450,MAR12448
MAR06178,MAR06175
MAR06178,MAR06077
MAR06178,MAR05443
MAR06178,MAR06120
MAR06178,MAR06166
MAR06178,MAR06133
MAR06178,MAR06068
MAR06178,MAR06136
MAR06178,MAR06086
MAR06178,MAR01889
MAR06178,MAR06148
MAR06178,MAR06169
MAR06178,MAR06114
MAR06178,MAR01901
MAR06178,MAR06080
MAR06178,MAR06205
MAR06178,MAR06160
MAR06178,MAR06184
MAR06178,MAR02396
MAR06178,MAR01892
MAR06178,MAR01898
MAR06178,MAR06145
MAR06178,MAR06108
MAR06178,MAR04433
MAR06178,MAR06126
MAR06178,MAR06154
MAR06178,MAR06208
MAR06178,MAR06089
MAR06178,MAR06157
MAR06178,MAR06187
MAR06178,MAR06202
MAR06178,MAR01904
MAR06178,MAR06071
MAR06178,MAR06196
MAR06178,MAR01886
MAR06178,MAR06130
MAR06178,MAR06092
MAR06178,MAR06211
MAR06178,MAR06123
