source,target
MAR05169,MAR05137
MAR05169,MAR05166
MAR05169,MAR09541
MAR05169,MAR05173
MAR05169,MAR05168
MAR05169,MAR05156
MAR00832,MAR00831
MAR00832,MAR12036
MAR00832,MAR12061
MAR00832,MAR00835
MAR06547,MAR00031
MAR06547,MAR06583
MAR06547,MAR11583
MAR06547,MAR06550
MAR06547,MAR08822
MAR06547,MAR06546
MAR06547,MAR06551
MAR06547,MAR11649
MAR06547,MAR06552
MAR06547,MAR06579
MAR06547,MAR06542
MAR06547,MAR08838
MAR06547,MAR08379
MAR06547,MAR12140
MAR06547,MAR06543
MAR06547,MAR00610
MAR06547,MAR00663
MAR06547,MAR06548
MAR06547,MAR08828
MAR06547,MAR00021
MAR06547,MAR03779
MAR11846,MAR11845
MAR11846,MAR11847
MAR10155,MAR03217
MAR10155,MAR10156
MAR00013,MAR05236
MAR00013,MAR00014
MAR00013,MAR00019
MAR00013,MAR01827
MAR00013,MAR01475
MAR00013,MAR05232
MAR07697,MAR07696
MAR07697,MAR07698
MAR07697,MAR08674
MAR06181,MAR06130
MAR06181,MAR06205
MAR06181,MAR02396
MAR06181,MAR02390
MAR06181,MAR06208
MAR06181,MAR01880
MAR06181,MAR06123
MAR06181,MAR06163
MAR06181,MAR06169
MAR06181,MAR06086
MAR06181,MAR06148
MAR06181,MAR06183
MAR06181,MAR06151
MAR06181,MAR06199
MAR06181,MAR06092
MAR06181,MAR06114
MAR06181,MAR06154
MAR06181,MAR06136
MAR06181,MAR06077
MAR06181,MAR06074
MAR06181,MAR06111
MAR06181,MAR06080
MAR06181,MAR06120
MAR06181,MAR06230
MAR06181,MAR06160
MAR06181,MAR06126
MAR06181,MAR06157
MAR06181,MAR06108
MAR06181,MAR06089
MAR06181,MAR01904
MAR06181,MAR06184
MAR06181,MAR01898
MAR06181,MAR06145
MAR06181,MAR06182
MAR06181,MAR06196
MAR06181,MAR06211
MAR06181,MAR06172
MAR06181,MAR01901
MAR06181,MAR06133
MAR06181,MAR06265
MAR06181,MAR01886
MAR06181,MAR01889
MAR06181,MAR06178
MAR06181,MAR01907
MAR06181,MAR06071
MAR06181,MAR06142
MAR06181,MAR06139
MAR06181,MAR06193
MAR06181,MAR06117
MAR06181,MAR05443
MAR06181,MAR06175
MAR06181,MAR01892
MAR06181,MAR06083
MAR06181,MAR04433
MAR06181,MAR01883
MAR06181,MAR06202
MAR06181,MAR06166
MAR06181,MAR06068
MAR06181,MAR06187
MAR08602,MAR08601
MAR08602,MAR09266
MAR12832,MAR12835
MAR12832,MAR13018
MAR12832,MAR12834
MAR12832,MAR12828
MAR12832,MAR12981
MAR03478,MAR03388
MAR03478,MAR03482
MAR03478,MAR03480
MAR03478,MAR03389
MAR01475,MAR07158
MAR01475,MAR00014
MAR01475,MAR00019
MAR01475,MAR01827
MAR01475,MAR01499
MAR01475,MAR00476
MAR05160,MAR05153
MAR05160,MAR05161
MAR05160,MAR05174
MAR05160,MAR05143
MAR05160,MAR05133
MAR05160,MAR05132
MAR05160,MAR05165
MAR05160,MAR05141
MAR05160,MAR05172
MAR05160,MAR05151
MAR05160,MAR05155
MAR05160,MAR05170
MAR05160,MAR05148
MAR05160,MAR05134
MAR05160,MAR05163
MAR05160,MAR05152
MAR05160,MAR05145
MAR05160,MAR05136
MAR05160,MAR05271
MAR05160,MAR05142
MAR05160,MAR05171
MAR05160,MAR05146
MAR05160,MAR05149
MAR05160,MAR05138
MAR05160,MAR05162
MAR05160,MAR05213
MAR05160,MAR05167
MAR05160,MAR05159
MAR05160,MAR05164
MAR05160,MAR05150
MAR05160,MAR05131
MAR05160,MAR05157
MAR05160,MAR05147
MAR05160,MAR05130
MAR05160,MAR05144
MAR05160,MAR05135
MAR05160,MAR07620
MAR05160,MAR05139
MAR05160,MAR05140
MAR05160,MAR05154
MAR05160,MAR05137
MAR05160,MAR05166
MAR05160,MAR09541
MAR05160,MAR05173
MAR05160,MAR05168
MAR05160,MAR05156
MAR10133,MAR03973
MAR00735,MAR08241
MAR00735,MAR00734
MAR00735,MAR00920
MAR00735,MAR08523
MAR00735,MAR12084
MAR00735,MAR08242
MAR00735,MAR00733
MAR00735,MAR10044
MAR00735,MAR00731
MAR06580,MAR06584
MAR06580,MAR06588
MAR06580,MAR03300
