reaction_id,category
MAR06827,Dead-End
MAR06828,Dead-End
MAR06829,Dilution
MAR06830,Dead-End
MAR06831,Dilution
MAR06834,Dilution
MAR06835,Dead-End
MAR06836,Dead-End
MAR06837,Dead-End
MAR06838,Dilution
MAR06839,Dilution
MAR06842,Dead-End
MAR06844,Dilution
MAR06845,Dilution
MAR06850,Dilution
MAR06851,Dilution
MAR06855,Dead-End
MAR06878,Dead-End
MAR06879,Dead-End
MAR06880,Dead-End
MAR06881,Dead-End
MAR06882,Dead-End
MAR03922,Dead-End
MAR03995,Multiple
MAR03996,Multiple
MAR04302,Loop
MAR08066,Loop
MAR08067,Loop
MAR08068,Loop
MAR08069,Loop
MAR08641,Dilution
MAR08682,Loop
MAR03868,Multiple
MAR03869,Duplicate
MAR03933,Multiple
MAR04079,Duplicate
MAR04688,Multiple
MAR04689,Duplicate
MAR07993,Duplicate
MAR07134,Dead-End
MAR07135,Dead-End
MAR07136,Dead-End
MAR07139,Dead-End
MAR07620,Dead-End
MAR08640,Dead-End
MAR03751,Multiple
MAR03769,Multiple
MAR03783,Multiple
MAR03790,Duplicate
MAR03792,Loop
MAR03796,Loop
MAR04531,Loop
MAR04532,Multiple
MAR04533,Multiple
MAR04534,Multiple
MAR04536,Multiple
MAR07696,Dead-End
MAR07697,Dead-End
MAR07698,Dead-End
MAR08367,Dilution
MAR08377,Loop
MAR08672,Dead-End
MAR08674,Dead-End
MAR08675,Dead-End
MAR05130,Dilution
MAR05131,Dilution
MAR05132,Dilution
MAR05133,Dilution
MAR05134,Dilution
MAR05135,Dilution
MAR05136,Dilution
MAR05137,Dilution
MAR05138,Dilution
MAR05139,Dilution
MAR05140,Dilution
MAR05141,Dilution
MAR05142,Dilution
MAR05143,Dilution
MAR05144,Dead-End
MAR05145,Dilution
MAR05146,Dilution
MAR05147,Dilution
MAR05148,Dilution
MAR05149,Dilution
MAR05150,Dilution
MAR05151,Dilution
MAR05152,Dilution
MAR05153,Dilution
MAR05154,Dilution
MAR05155,Dilution
MAR05156,Dilution
MAR05157,Dilution
MAR05158,Dilution
MAR05159,Dilution
MAR05160,Dilution
MAR05161,Dilution
MAR05162,Dilution
MAR05163,Dilution
MAR05164,Dilution
MAR05165,Dilution
MAR05166,Dilution
MAR05167,Dilution
MAR05168,Dilution
MAR05169,Dilution
MAR05170,Dilution
MAR05171,Dilution
MAR05172,Dilution
MAR05173,Dead-End
MAR05174,Dilution
MAR07616,Dead-End
MAR07619,Dead-End
MAR05267,Dilution
MAR05287,Dilution
MAR09818,Dilution
MAR05407,Loop
MAR08662,Loop
MAR08663,Loop
MAR08667,Loop
MAR08668,Loop
MAR03957,Multiple
MAR03958,Multiple
MAR04139,Loop
MAR04141,Loop
MAR04147,Loop
