reaction_id,category
CYNTt2pp,Dead-End
CYSabcpp,Duplicate
SBTptspp,Dead-End
TREHpp,Dead-End
CYTBDpp,Duplicate
CYTDt2pp_copy1,Multiple
CYTDt2pp_copy2,Multiple
DADNt2pp,Dead-End
DCYTt2pp,Dead-End
CYTBD2pp,Duplicate
ACt2rpp,Loop
DDGLCNt2rpp,Dead-End
RMNtex,Dead-End
EX_meoh_e,Dead-End
MALTTRtexi,Dead-End
MALTTTRtexi,Dead-End
MALTPTtexi,Dead-End
ASPO3,Duplicate
ASPO4,Duplicate
EX_3amp_e,Dead-End
EX_3gmp_e,Dead-End
EX_3ump_e,Dead-End
ASPO6,Duplicate
EX_eca4colipa_e,Dilution
FDMO3,Dead-End
LYXtex,Dead-End
MANtex,Dead-End
MAN6Ptex,Dead-End
FDMO4,Dead-End
CYSabc2pp,Duplicate
BUTSO3abcpp,Dead-End
ETHSO3abcpp,Dead-End
DMSOtex,Dead-End
DURItex,Dead-End
EX_mal__D_e,Dead-End
FRUtex,Dead-End
FUCtex,Dead-End
EX_sel_e,Dead-End
EX_hg2_e,Dead-End
O16GLCT1,Dead-End
O16AP2pp,Dead-End
O16AP3pp,Dead-End
O16A4Lpp,Dead-End
MALDDH,Dead-End
NMNtex,Dead-End
NO2tex,Dead-End
TRSARr,Loop
FEOXAMUtex,Dilution
ARBTNtpp,Dilution
ARBTNtex,Dilution
LYXI,Dead-End
BUTt2rpp,Dead-End
23CAMPtex,Dead-End
23CCMPtex,Dead-End
23CUMPtex,Dead-End
23CGMPtex,Dead-End
3AMPtex,Dead-End
3CMPtex,Dead-End
GDPtex,Dead-End
TMAtex,Dead-End
EX_pheme_e,Dilution
TMAOtex,Dead-End
TREtex,Dead-End
L_LACD3,Duplicate
FE3HOXUtpp,Dilution
FEOXAMUtpp,Dilution
FECRMUtpp,Dilution
FE3HOXR2,Multiple
L_LACD2,Duplicate
PNTOtex,Dead-End
FRULYSK,Dead-End
FDMO6,Dead-End
TSULtex,Dead-End
SULFACabcpp,Dead-End
ETHSO3tex,Dead-End
BUTSO3tex,Dead-End
LIPOtex,Dead-End
CYANSTpp,Dead-End
MCPST,Dead-End
XYLtex,Dead-End
PPPNtex,Dead-End
PHEMEabcpp,Dilution
METSOX1abcpp,Dead-End
PPTtex,Dead-End
GALBDtex,Dead-End
LIPAHT2ex,Dead-End
GLCTR1,Dilution
LIPAabcpp,Dilution
LIPAHTex,Dead-End
LIPACabcpp,Dead-End
ECAP1pp,Dilution
UDCPDPpp,Dilution
EX_mso3_e,Dead-End
EX_23camp_e,Dead-End
EX_23cgmp_e,Dead-End
EX_23cump_e,Dead-End
ECAP2pp,Dilution
ECA4OALpp,Dilution
FE3HOXR3,Multiple
FEENTERR1,Duplicate
NODOy,Multiple
GALM2pp,Dead-End
CU1abcpp,Dead-End
HG2abcpp,Dead-End
FEENTERR3,Duplicate
SULFACtex,Dead-End
EX_sulfac_e,Dead-End
EX_butso3_e,Dead-End
GLCTR3,Dilution
HEPT4,Dilution
EX_ethso3_e,Dead-End
DSERtex,Dead-End
LA4NTpp,Dead-End
NODOx,Multiple
NOtex,Dead-End
NOtpp,Dead-End
NHFRBO,Dead-End
N2Otpp,Dead-End
N2Otex,Dead-End
CRNt8pp,Multiple
CRNt2rpp,Multiple
CRNDt2rpp,Multiple
CTBTt2rpp,Dilution
42A12BOOXpp,Dead-End
TYROXDApp,Dead-End
PEAMNtex,Dead-End
LIPOt2pp,Dead-End
RNDR3b,Multiple
RNDR4b,Multiple
ACGAL1Ptex,Dead-End
ACGALtex,Dead-End
GLCUR1Ptex,Dead-End
UDPGLCURtex,Dead-End
UDPGALPpp,Dead-End
UACGAMPpp,Dead-End
UACGALPpp,Dead-End
UGLCURPpp,Dead-End
ISETACabcpp,Dead-End
ISETACtex,Dead-End
GUR1PPpp,Dead-End
UDPGtex,Dead-End
ACGAL1PPpp,Dead-End
UDPGALtex,Dead-End
ACGAM1Ptex,Dead-End
UACGAMtex,Dead-End
UDPACGALtex,Dead-End
CBLAT,Dead-End
NTRIR4pp,Multiple
NTRIR3pp,Multiple
INOSTt4pp,Dead-End
PHEMEtiex,Dilution
CYANtex,Dead-End
SO3tex,Dead-End
TCYNTtex,Dead-End
METSOX2abcpp,Dead-End
METSOX1tex,Dead-End
METSOX2tex,Dead-End
3UMPtex,Dead-End
MSO3abcpp,Dead-End
MSO3tex,Dead-End
FECRMR1,Multiple
FECRMR2,Multiple
3GMPtex,Dead-End
FALDtpp,Dead-End
EX_tym_e,Dead-End
SO4tex,Dilution
FECRMexs,Dilution
ARBTNR1,Multiple
ARBTNR2,Multiple
METSOXR1,Dilution
METSOXR2,Dilution
DAPAL,Dead-End
EX_imp_e,Dead-End
DOPAtex,Dead-End
4HOXPACDtex,Dead-End
ARBTNR3,Multiple
ARBTNexs,Dilution
FEOXAMexs,Dilution
GPDDA1pp,Dead-End
GPDDA5pp,Dead-End
G3PStex,Dead-End
FEOXAMR1,Multiple
FEOXAMR2,Multiple
FEOXAMR3,Multiple
PTHRpp,Dead-End
FEENTERR2,Duplicate
FE3HOXR1,Multiple
SUCRtex,Dead-End
FE3HOXexs,Dilution
FECRMR3,Multiple
FDMO2,Dead-End
ARABDI,Dead-End
AGt3,Dead-End
CD2t3pp,Dilution
ZNabcpp,Multiple
SKMt2pp,Dead-End
FE2t2pp,Duplicate
GLYC2Ptex,Dead-End
PSERtex,Dead-End
TARTRtex,Dead-End
R5Ptex,Dead-End
THRPtex,Dead-End
TYRPtex,Dead-End
R5PPpp,Dead-End
PSP_Lpp,Dead-End
TYRPpp,Dead-End
R1PK,Loop
PAPSR2,Multiple
GRXR,Dilution
RNDR1b,Multiple
R15BPK,Loop
RNDR2b,Multiple
TAURtex,Dead-End
MALt2_2pp,Duplicate
CPGNR1,Multiple
CPGNR2,Multiple
CPGNR3,Multiple
CPGNUtpp,Dilution
CPGNUtex,Dilution
MALt2_3pp,Duplicate
MALTabcpp,Dead-End
MALTHXabcpp,Dead-End
MALTPTabcpp,Dead-End
AAMYL,Dead-End
AAMYLpp,Dead-End
MALTTRabcpp,Dead-End
MALTTTRabcpp,Dead-End
MAN6Pt6_2pp,Dead-End
FACOAL80t2pp,Dead-End
CPGNabcpp,Dilution
CPGNexs,Dilution
MANGLYCptspp,Dead-End
MELIBt2pp,Multiple
CBIuabcpp,Dead-End
ACGAtex,Dead-End
DDCAtexi,Dead-End
TTDCAtexi,Dead-End
HDCAtexi,Dead-End
EX_23dappa_e,Dead-End
RMNtpp,Dead-End
23PDE2pp,Dead-End
23PDE4pp,Dead-End
23PDE9pp,Dead-End
METDtex,Dead-End
SUCCt2_3pp,Duplicate
MNLptspp,Dead-End
NAt3_1p5pp,Duplicate
SARCOX,Dead-End
MN6PP,Dilution
NAt3_2pp,Duplicate
3KGK,Dead-End
NMNPtpp,Dead-End
NO2t2rpp,Dead-End
NO3t7pp,Dead-End
PNTOt4pp,Dead-End
FRULYSDG,Dead-End
METDabcpp,Dead-End
GDPMNH,Dilution
INDOLEt2pp,Multiple
INSt2pp,Duplicate
PROt2rpp,Loop
MNLtex,Dead-End
PROt4pp,Loop
LYXt2pp,Dead-End
OCDCAtexi,Dead-End
OCDCEAtexi,Dead-End
GLUNpp,Dead-End
G6Ptex,Dead-End
TUNGSabcpp,Dead-End
MOBDabcpp,Dead-End
MOBDtex,Dead-End
NI2uabcpp,Multiple
FECRMtonex,Dilution
ARBTNtonex,Dilution
ADOCBLabcpp,Dead-End
NTD10pp,Dead-End
NTD1pp,Dead-End
EX_chtbs_e,Dead-End
EX_gmp_e,Dead-End
NTD2pp,Dead-End
NACtex,Dead-End
NTD3pp,Dead-End
NTD4pp,Dead-End
NTD5pp,Dead-End
EX_h2o2_e,Dead-End
EX_ump_e,Dead-End
EX_pydam_e,Dead-End
CRNabcpp,Dilution
CRNDabcpp,Dilution
NTD6pp,Dead-End
NTD7pp,Dead-End
CTBTabcpp,Dilution
NTD9pp,Dead-End
PEAMNOpp,Dead-End
GAL1PPpp,Dead-End
H2O2tex,Dead-End
ALLPI,Dead-End
ALLK,Dead-End
ALLULPE,Dead-End
NADPHQR4,Duplicate
GLBRAN2,Multiple
ASR,Dead-End
ASO3tex,Dead-End
BALAtex,Dead-End
MANGLYCtex,Dead-End
EX_frulys_e,Dead-End
AMPtex,Dead-End
METOX1s,Dilution
METOX2s,Dilution
FRUURt2rpp,Dead-End
FRUURtex,Dead-End
ASCBtex,Dead-End
FACOAL100t2pp,Dead-End
RIBabcpp,Dead-End
ECAtpp,Dilution
O16AT,Dead-End
O16GALFT,Dead-End
O16GLCT2,Dead-End
O16AUNDtpp,Dead-End
O16AP1pp,Dead-End
GPDDA3pp,Dead-End
EX_enlipa_e,Dilution
BUTtex,Dead-End
EX_hacolipa_e,Dead-End
FE3HOXtonex,Dilution
CU2abcpp,Dilution
COBALT2abcpp,Dilution
NI2abcpp,Multiple
HCYSMT2,Dead-End
FALDH2,Dead-End
GLYBabcpp,Dilution
MMETtex,Dead-End
MMETt2pp,Dead-End
GLYCLTt4pp,Loop
GLNabcpp,Dead-End
GLUABUTt7pp,Loop
HCINNMt2rpp,Dead-End
CBIAT,Dead-End
LCTSt3ipp,Multiple
ARBt3ipp,Multiple
14GLUCANabcpp,Dead-End
14GLUCANtexi,Dead-End
DINStex,Dead-End
FALGTHLs,Dead-End
NTD12pp,Dead-End
DIMPtex,Dead-End
EX_hdca_e,Dead-End
EX_glcr_e,Dead-End
HMBS,Dilution
3NTD7pp,Dead-End
DMStex,Dead-End
3NTD4pp,Dead-End
3NTD2pp,Dead-End
3NTD9pp,Dead-End
RMK,Dead-End
HYPOE,Dilution
23PDE7pp,Dead-End
GALTptspp,Dead-End
GALURt2rpp,Dead-End
ZN2abcpp,Multiple
CSNtex,Dead-End
GLYCLTDy,Duplicate
GLCRt2rpp,Dead-End
PPPNt2rpp,Dead-End
GLCURt2rpp,Dead-End
ACMUMptspp,Dead-End
CYNTtex,Dead-End
HG2tex,Dead-End
ACONMT,Dead-End
ATPM,Duplicate
EX_mnl_e,Dead-End
EX_malt_e,Dead-End
DADNtex,Dead-End
EX_pnto__R_e,Dead-End
SELNPS,Dead-End
MTRPOX,Dead-End
GLYCLTt2rpp,Loop
HPPPNt2rpp,Dead-End
RNDR2,Multiple
DCAtex,Dead-End
EX_no2_e,Dead-End
DCYTtex,Dead-End
EX_gam_e,Dead-End
ACACtex,Dead-End
ACNAMtex,Dead-End
ARBTNabcpp,Dilution
EX_inost_e,Dead-End
EX_mobd_e,Dead-End
NNDMBRT,Dead-End
DGSNtex,Dead-End
ASO3t8pp,Dead-End
EX_so4_e,Dilution
PDH,Duplicate
DMSOR2pp,Dead-End
EX_ddca_e,Dead-End
NO3R1pp,Multiple
CELBpts,Dead-End
EX_r5p_e,Dead-End
EX_glyc2p_e,Dead-End
EX_halipa_e,Dead-End
AACPS5,Dilution
MANptspp,Dead-End
EX_cmp_e,Dead-End
GALCTD,Dead-End
EX_malthx_e,Dead-End
MLTG4,Dilution
UDPGDC,Dead-End
AMAOTr,Dead-End
EX_csn_e,Dead-End
TYMtex,Dead-End
EX_dmso_e,Dead-End
CMPtex,Dead-End
DUMPtex,Dead-End
XMPtex,Dead-End
EX_pppn_e,Dead-End
MALTptspp,Dead-End
UDPKAAT,Dead-End
ULA4NFT,Dead-End
EX_acgam1p_e,Dead-End
NTD11pp,Dead-End
EX_galt_e,Dead-End
DKGLCNR2x,Multiple
UPLA4FNT,Dead-End
UPLA4FNF,Dead-End
ULA4Ntppi,Dead-End
HEPT1,Dilution
FALDtex,Dead-End
EX_glcur1p_e,Dead-End
ALR2,Duplicate
MLTP1,Dilution
HEPT2,Dilution
FECRMUtex,Dilution
EX_thrp_e,Dead-End
CLtex,Dead-End
CYSDtex,Dead-End
CYSDabcpp,Dead-End
EX_fald_e,Dead-End
EX_pydxn_e,Dead-End
EX_acgal_e,Dead-End
EX_so2_e,Dead-End
EX_dms_e,Dead-End
GMPtex,Dead-End
IMPtex,Dead-End
G3PItex,Dead-End
CD2abcpp,Dilution
G3PCtex,Dead-End
MOAT3C,Dilution
UMPtex,Dead-End
G1Ptex,Dead-End
CUt3,Dead-End
ZN2t3pp,Dilution
SKMtex,Dead-End
MNt2pp,Multiple
RHAT1,Dilution
GALT1,Dilution
GAL1Ptex,Dead-End
GLCTR2,Dilution
G2PPpp,Dead-End
UDPGPpp,Dead-End
EX_acgal1p_e,Dead-End
EX_cyan_e,Dead-End
EX_tyrp_e,Dead-End
O2Stex,Dead-End
HEPK1,Dilution
HEPT3,Dilution
HEPK2,Dilution
ALDD3y,Dead-End
EX_uacgam_e,Dead-End
Kt3pp,Duplicate
EX_udpacgal_e,Dead-End
EX_udpg_e,Dead-End
EX_udpgal_e,Dead-End
EX_udpglcur_e,Dead-End
EX_14glucan_e,Dead-End
EX_pser__L_e,Dead-End
EX_xmp_e,Dead-End
EX_damp_e,Dead-End
CYSSADS,Dead-End
EX_dimp_e,Dead-End
CPPPGO2,Dilution
EX_isetac_e,Dead-End
EX_aso3_e,Dead-End
EX_tcynt_e,Dead-End
EX_fe3dhbzs_e,Dead-End
PPPGO,Dilution
SO2tex,Dead-End
SO2tpp,Dead-End
LDH_D2,Duplicate
EX_g3pc_e,Dead-End
EX_g3pi_e,Dead-End
SHCHF,Dead-End
SUCOAS,Loop
CYSDDS,Dead-End
EX_g3ps_e,Dead-End
EX_peamn_e,Dead-End
EX_34dhpac_e,Dead-End
NTP1,Duplicate
DAMPtex,Dead-End
DCMPtex,Dead-End
DGMPtex,Dead-End
DTMPtex,Dead-End
GDMANE,Dead-End
LPLIPAL2ATG120,Dead-End
AACPS8,Dilution
AACPS9,Dilution
AACPS6,Dilution
AACPS7,Dilution
G3PIabcpp,Dead-End
G1PPpp,Dead-End
GALCTND,Dead-End
G3PSabcpp,Dead-End
QMO2,Duplicate
QMO3,Duplicate
LDH_D,Duplicate
YUMPS,Dead-End
UPP3MT,Dead-End
KAS15,Dilution
T2DECAI,Dilution
3OAS161,Dilution
EAR141y,Multiple
EAR161x,Multiple
LPLIPAL2ATG140,Dead-End
LPLIPAL2ATG141,Dead-End
LPLIPAL2ATG160,Dead-End
LPLIPAL2ATG180,Dead-End
LPLIPAL2ATG161,Dead-End
LPLIPAL2ATG181,Dead-End
FACOAE100,Dilution
FACOAE80,Dilution
NO3tex,Dead-End
3OAS141,Dilution
3OAR121,Dilution
ALPATE160pp,Dead-End
TTDCEAtexi,Dead-End
HDCEAtexi,Dead-End
ALPATG160pp,Dead-End
LPLIPAL2ATE120,Dead-End
LPLIPAL2ATE140,Dead-End
EX_orot_e,Dead-End
LPLIPAL2ATE160,Dead-End
LPLIPAL2ATE180,Dead-End
LPLIPAL2ATE141,Dead-End
LPLIPAL2ATE161,Dead-End
LPLIPAL2ATE181,Dead-End
G3PCabcpp,Dead-End
AMPTASEPG,Dead-End
PROGLYabcpp,Dead-End
GTHRDabcpp,Duplicate
RIBtex,Dead-End
THMtex,Dead-End
XYLUtex,Dead-End
EX_manglyc_e,Dead-End
ALLtex,Dead-End
FRUpts2pp,Dead-End
EX_metsox_R__L_e,Dead-End
34dhpactex,Dead-End
G6Pt6_2pp,Dead-End
MALTHXtexi,Dead-End
HPYRI,Loop
FE3HOXUtex,Dilution
HYD1pp,Duplicate
EX_cl_e,Dead-End
FE3DHBZStonex,Dead-End
23DAPPAtex,Dead-End
ECAP3pp,Dilution
FEOXAMtonex,Dilution
ACGAM1PPpp,Dead-End
EX_dgmp_e,Dead-End
GAMptspp,Dead-End
GSNt2pp,Duplicate
EX_4hoxpacd_e,Dead-End
EX_3hpppn_e,Dead-End
EX_man6p_e,Dead-End
SBTtex,Dead-End
EX_tsul_e,Dead-End
THIORDXi,Multiple
EX_n2o_e,Dead-End
PPPGO3,Dilution
PDX5POi,Duplicate
PDX5PO2,Duplicate
GUI2,Dead-End
HG2t3pp,Dead-End
CYTBO3_4pp,Duplicate
EX_maltttr_e,Dead-End
MLTG5,Dilution
GPDDA3,Dead-End
EAR141x,Multiple
EAR181x,Multiple
EAR181y,Multiple
G3PAT141,Dilution
2DOXG6PP,Dead-End
UDCPPtppi,Dilution
G3PAT181,Dilution
MELIBt3ipp,Multiple
EX_dtmp_e,Dead-End
EX_lipoate_e,Dead-End
EX_pydx_e,Dead-End
EX_g1p_e,Dead-End
GLCtex_copy2,Multiple
NAt3pp,Multiple
MINOHPtexi,Dead-End
SFGTHi,Dead-End
PYDAMK,Dilution
K2L4Aabcpp,Dead-End
3OAR120,Dilution
3HAD80,Dilution
3HAD120,Dilution
DSBCGT,Dead-End
DSBGGT,Dead-End
EAR180x,Multiple
SO4t2pp,Dilution
EAR180y,Multiple
AGPAT120,Dilution
COLIPAabcpp,Dilution
ACONIs,Dead-End
F6Pt6_2pp,Dead-End
PPALtpp,Dead-End
GAM6Pt6_2pp,Dead-End
FE3HOXabcpp,Dilution
PPALtex,Dead-End
CUtex,Dead-End
3HAD161,Dilution
CU1Opp,Dead-End
SUCDi,Duplicate
EAR80y,Multiple
EAR120y,Multiple
3OAR181,Dilution
3HAD121,Dilution
EAR121y,Multiple
PROGLYtex,Dead-End
EX_progly_e,Dead-End
F6Ptex,Dead-End
EAR140x,Multiple
EAR40y,Multiple
GAMAN6Ptex,Dead-End
EX_gal_bD_e,Dead-End
3OAS181,Dilution
EAR161y,Multiple
G3PAT140,Dilution
G3PAT160,Dilution
G3PAT161,Dilution
AGPAT160,Dilution
AGPAT140,Dilution
3OAS140,Dilution
3OAR140,Dilution
EAR160y,Multiple
3OAR160,Dilution
3HAD181,Dilution
EAR100y,Multiple
3OAR141,Dilution
3OAR161,Dilution
3HAD141,Dilution
EAR121x,Multiple
EX_dump_e,Dead-End
G3PAT180,Dilution
EX_o2s_e,Dead-End
EX_gal1p_e,Dead-End
EX_dcmp_e,Dead-End
EX_23ccmp_e,Dead-End
PETNT161pp,Dilution
AGPAT181,Dilution
EX_3cmp_e,Dead-End
3HAD40,Dilution
3OAS60,Dilution
3OAS160,Dilution
GTHOXtex,Dead-End
DSBAO1,Multiple
DSBAO2,Multiple
DSBDR,Dead-End
TDSR1,Dead-End
3OAR60,Dilution
3OAR80,Dilution
EAR100x,Multiple
EAR120x,Multiple
EAR160x,Multiple
EAR140y,Multiple
3OAS121,Dilution
3OAS80,Dilution
3OAS100,Dilution
3OAS120,Dilution
3OAR40,Dilution
3OAR100,Dilution
3HAD60,Dilution
3HAD100,Dilution
3HAD140,Dilution
3HAD160,Dilution
EX_urate_e,Dead-End
AGPAT180,Dilution
AGPAT141,Dilution
